XXII,"22nd Century Group, Inc",$57.77M,United States,n/a,Farming/Seeds/Milling,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,$1.29B,United States,1986,n/a,AMEX
IAF,Aberdeen Australia Equity Fund Inc,$124.89M,United States,n/a,n/a,AMEX
CH,"Aberdeen Chile Fund, Inc.",$55.85M,United States,n/a,n/a,AMEX
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,$110.29M,United States,n/a,n/a,AMEX
FCO,"Aberdeen Global Income Fund, Inc.",$72.44M,United States,1992,n/a,AMEX
IF,"Aberdeen Indonesia Fund, Inc.",$55.16M,United States,1990,n/a,AMEX
ISL,"Aberdeen Israel Fund, Inc.",$66.96M,United States,1992,n/a,AMEX
ACU,Acme United Corporation.,$54.52M,United States,1988,Industrial Machinery/Components,AMEX
AIII,"ACRE Realty Investors, Inc.",$27.56M,United States,n/a,Real Estate Investment Trusts,AMEX
ATNM,"Actinium Pharmaceuticals, Inc.",$88.78M,United States,n/a,Major Pharmaceuticals,AMEX
AE,"Adams Resources & Energy, Inc.",$164.15M,United States,n/a,Oil Refining/Marketing,AMEX
ADK,Adcare Health Systems Inc,$44.98M,United States,n/a,Hospital/Nursing Management,AMEX
ADK^A,Adcare Health Systems Inc,n/a,United States,n/a,n/a,AMEX
ACY,AeroCentury Corp.,$17.23M,United States,n/a,Diversified Commercial Services,AMEX
WGA,"AG&E Holdings, Inc.",$3.97M,United States,n/a,Radio And Television Broadcasting And Communications Equipment,AMEX
AIRI,Air Industries Group,$47.04M,United States,n/a,Military/Government/Technical,AMEX
AA^,Alcoa Inc.,n/a,United States,n/a,Metal Fabrications,AMEX
AXU,Alexco Resource Corp,$77.39M,Canada,n/a,Precious Metals,AMEX
AAU,"Almaden Minerals, Ltd.",$52.11M,Canada,2015,Precious Metals,AMEX
APT,"Alpha Pro Tech, Ltd.",$32.13M,Canada,n/a,Industrial Specialties,AMEX
AAMC,Altisource Asset Management Corp,$23.71M,United States,n/a,Real Estate,AMEX
DIT,AMCON Distributing Company,$48.94M,United States,n/a,Food Distributors,AMEX
ADGE,American DG Energy Inc.,$18.75M,United States,n/a,Power Generation,AMEX
AFCO,American Farmland Company,$105.57M,n/a,2015,Real Estate Investment Trusts,AMEX
ALN,American Lorain Corporation,$43.23M,China,n/a,Packaged Foods,AMEX
AMS,American Shared Hospital Services,$10.62M,United States,n/a,Medical Specialities,AMEX
AMPE,"Ampio Pharmaceuticals, Inc.",$114.44M,United States,n/a,Major Pharmaceuticals,AMEX
APHB,AmpliPhi Biosciences Corporation,$25.3M,United States,n/a,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
AXN,"Aoxing Pharmaceutical Company, Inc.",$50.9M,United States,n/a,Major Pharmaceuticals,AMEX
AMCO,"Armco Metals Holdings, Inc.",$2.61M,United States,n/a,Steel/Iron Ore,AMEX
HRT,Arrhythmia Research Technology Inc.,$12.83M,United States,n/a,Biotechnology: Electromedical & Electrotherapeutic Apparatus,AMEX
AKG,Asanko Gold Inc.,$403.84M,Canada,n/a,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
AINC,Ashford Inc.,$88.04M,United States,2014,Professional Services,AMEX
ASB.WS,Associated Banc-Corp,n/a,United States,n/a,n/a,AMEX
